 Vendor,Fund,Check #,Date,Amount
NBS GOVERNMENT FINANCE GROUP,SAD - NUT TREE ASSESSMENT DIST,579287,2026-04-09T00:00:00.000,106.02
NBS GOVERNMENT FINANCE GROUP,SA - SUCCESSOR AGENCY,579287,2026-04-09T00:00:00.000,3408.43
NBS GOVERNMENT FINANCE GROUP,SA - SUCCESSOR AGENCY,579287,2026-04-09T00:00:00.000,3198.86
NBS GOVERNMENT FINANCE GROUP,SAD - NUT TREE ASSESSMENT DIST,579287,2026-04-09T00:00:00.000,1852.11
NBS GOVERNMENT FINANCE GROUP,CFD – 13 Lagoon Valley IA #1,579287,2026-04-09T00:00:00.000,1950.00
VACAVILLE UNIFIED SCHOOL DIST,GENERAL FUND - MEASURE M,579401,2026-04-09T00:00:00.000,3207.26
"HINDERLITER, DE LLAMAS & ASSOC",GENERAL FUND,579351,2026-04-09T00:00:00.000,12000.00
"FERGUSON ENTERPRISES, INC.",WATER - OPERATIONS,579272,2026-04-09T00:00:00.000,90870.44
"PETTY CASH, PARKS & REC DEPT",GENERAL FUND,579373,2026-04-09T00:00:00.000,80.50
"PETTY CASH, PARKS & REC DEPT",GENERAL FUND,579373,2026-04-09T00:00:00.000,137.76
"PETTY CASH, PARKS & REC DEPT",GENERAL FUND,579373,2026-04-09T00:00:00.000,64.68
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579339,2026-04-09T00:00:00.000,64.40
EMPLOYEE REIMBURSEMENT,WATER - OPERATIONS,579334,2026-04-09T00:00:00.000,50.00
EMPLOYEE REIMBURSEMENT,SEWER - OPERATIONS,579334,2026-04-09T00:00:00.000,50.00
EMPLOYEE REIMBURSEMENT,GENERAL FUND,579397,2026-04-09T00:00:00.000,21.32
"DATA BUSINESS EQUIPMENT, INC",GENERAL FUND,579395,2026-04-09T00:00:00.000,1292.00
NBS GOVERNMENT FINANCE GROUP,CFD - TBD-PREWORK,579287,2026-04-09T00:00:00.000,12500.00
NBS GOVERNMENT FINANCE GROUP,CFD - 11  SOUTHTOWN,579287,2026-04-09T00:00:00.000,2000.00
NBS GOVERNMENT FINANCE GROUP,CFD - 12 INFILL PSD,579287,2026-04-09T00:00:00.000,2000.00
NBS GOVERNMENT FINANCE GROUP,CFD - 11  SOUTHTOWN,579287,2026-04-09T00:00:00.000,2500.00
NBS GOVERNMENT FINANCE GROUP,CFD - 12 INFILL PSD,579287,2026-04-09T00:00:00.000,2500.00
SOLANO COMMUNITY COLLEGE,GENERAL FUND - MEASURE M,579389,2026-04-09T00:00:00.000,1240.00
PG&E,SBL - VILLAGIO,579291,2026-03-31T00:00:00.000,13.75
PG&E,GENERAL FUND,579291,2026-03-31T00:00:00.000,486.19
PG&E,NP - SOUTHTOWN,579291,2026-03-31T00:00:00.000,321.54
PG&E,GENERAL FUND,579291,2026-03-31T00:00:00.000,210.89
PG&E,SBL - PRAIRIE ROSE,579291,2026-03-31T00:00:00.000,9.53
